sentiment,sentiment_label,Cleaned_Tweet
neutral,1,yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan termasuk pt who tambang bouksid yg viral saat pilpres dulu ndan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora
negative,0,anak pecun ga jauh2 dr hobi zina haha
neutral,1,que bom sbbsnsn
neutral,1,istirahat aja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pd di pacitan tahun 2003
neutral,1,pada 1979 house select committee on assassinations hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya
neutral,1,tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pilpres acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin
neutral,1,ian pantat
neutral,1,ngakunya org pintar dan beragama emangnya agama mana yg memperbolehkan menista dan menghujat org lain jgnkan orang bodoh org yg  maaf sejak lahir idiot sekalipun dia kita hrs hargain sebagai sesama ciptaan tuhan ingat  iblis itu juga pintar dan sangat licik
neutral,1,pendaftaran capres untuk  saja belum dibuka sampai agustus 2018yang normatif begini politikus pdip masih belum paham
negative,0,si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dpr paya cebong
neutral,1,dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh dan w ngerasa jadi anak yg brengsek aja gt ke laki2
negative,0,cina perusak bangsa usir  stuju
negative,0,scra konstitusional hak setiap rakyat woiii  gini nih kalo planga plongo tapi kelakuan otoriter
neutral,1,mari kita wujudkan pilkada kota bengkulu 2018 aman dan damai   coki_adem86 98heruâ
neutral,1,mau tanya serius ini sm presiden jokowi knp yg ada cm islam nusantaraknp tdk ada kristen nusantarabudhahindu bahkan kong huchu nusantara
neutral,1,korsa pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam
negative,0,cowo yang jago drasex mana sini ngentot sama adek  luvian
negative,0,kroasia itu kapir tauuungapain blajar sm kapirudh lupa sm kapling sorga
negative,0,loh bukan nya mentri suharto ada yg homo
neutral,1,gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik  buruk
neutral,1,pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam
neutral,1,kejar setorang memang cukup bangsad mana rupiah turun xf0x9fx98xa5
neutral,1,moga ini ada tindak lanjutnya  pelaporan terhadap penista agama ade armando akan dilakukan langsung oleh ketua umum fpi kh shobri lubis ke bareskrim mabes polri gambir jakarta pusat pada selasa 104 pukul 1300 wib
neutral,1,bangke hajar
negative,0,nonta mati klo kebanyakan minum
neutral,1,ahok tng mrka trus waswas hdpnya
negative,0,itu baru di sul teng  ini ekses akibat tersandera hutang china
neutral,1,6 pride yunani xe1xbdx99xcfx80xcexb5xcfx81xcexb7xcfx86xcexb1xcexbdxcexafxcexb1hyperxc4x93phania keangkuhanharga dirikesombonganndikenal juga dengan sebutan hubrisvanity harga diri yang tinggi dapat merubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhandan dapat membuat manusia mencintai dirinya sendiri
neutral,1,aku bertanya tujuan pada hatinlogikaku yg menjawab ntapi hati tak tenangnaku bertanya pada logika nhatiku sedih nku cari jawaban dalam wasiat yg beliau tinggalkan ndan aku mulai menjadi terasing dan asing di mata manusia ntak apa duhai diri ada
neutral,1,tak hanya kurang bertaji nya kpk era initapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era pak sby
negative,0,rt  admin tolol di partai tololnpartai tolol untuk orang tolol
negative,0,rt  ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak
negative,0,video ttg tka dibuat oleh malaysia tapi mengutip pernyataan saya di
negative,0,ppp jangan buruburu tolak wacana pilkada lewatâ dprd
neutral,1,random pagi2 ada bapak2 nyamperin ke meja kerja trus nanya pake bedak apa sih biar mukanya bersih istri saya butek soalnyaningin ku jawab pake air wudhu tapi ku kristen
negative,0,ko gua kampret
negative,0,memek lonte pengen disodok kontol gede
negative,0,jokowi aja yg mundur  tutup
neutral,1,ngomong opo itumulut kok seperti bancibeli kaca dulu lihat dirimu broo
neutral,1,ada amin rasisnada amat daninada ratna si paiiitnada si ontanada si lobang anusnjdi jngan takut wo wonkehabisan obat penenang yh
negative,0,tunggu komando imam bejat cabul   taik beer xf0x9fx8dxbannape2 bawa ulamandasar banj sempak
negative,0,kabinet berantakan npemecah belah persatuan hanya ad di rezim ini
neutral,1,dih ngaku lebih pinter dr orang politik ngaca dulu woyy tampang loe aja kxc3xa6k orang bego  ckakakakak
neutral,1,dengan menekan perusahaan tambang dgn target proyek yang impossible lalu dilelang murah pada antek cina ntb contoh kasus pdip mau menang dasar bajingan
negative,0,ga caya sama mulut buaya mu bwang
neutral,1,2019 jika sby  prabowo menyatu melawan mega  jokowi  maka peristiwa 2004 akan terulang dimana pdip yg incumbent dikalahkan mutlak oleh sby   tp jk jkwmegasby melawan prabowo mk pilpres selesai sudah   jk 3 poros di pilpres mk salah satu lawan
neutral,1,rt   jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presidens 2019 melawan jokowi
negative,0,bebal
neutral,1,5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan merekaobviously
neutral,1,umuh gt persibnpersib kunyuknxf0x9fx98x82xf0x9fx98x82xf0x9fx98x82
negative,0,buat film muslim pilih ahok mati nggak di sholatin dijamin laris
neutral,1,tapi banu banu yahudi itu tentu beda dgn banu banu kristen syriac salah satu perbedaan ad banu yahudi tetep pake eloah elohim yahwe sedangkan syriac sudah pake alah allah
neutral,1,eh kenapa muka merah2 tu tak dpt cendol ke bukan la setan cuaca skrg ni panas
neutral,1,pemberitaan saracen diframing katak seakan tim prabowo dan aniessandi seberulnya itu media menumpahkan sakit hati katak dan cebong ehe
neutral,1,giat bhabinkamtibmas brigpol mbs sihombing pd hari ini rabu 11 april 2018 melaks sambang desa dan tatap muka sekaligus monitoring kamtibmas menuju pilkada 2018 di desa lobusiregar i tepatnya dirumah rudi panjaitan helman siahaan dan hotman siahaan
negative,0,syg bgt ya ngeliat perempuan kyk gini gak ada status apa2 tp udah nemplok sm lakilaki sana sini haduhnnagita slavina blakblakan sebut ayu ting ting kampungan xe2x80x93 viva
neutral,1,jgn lupa juga kang umat katolik dan minorutas lainnya diperhatika gubernur untuk semua golongan bukan satu golongan
neutral,1,kan ane bukan cebong udeh dibilangin dari maren masih ngeyelnsitu maksa ane jadi cebong
neutral,1,kelemahan gerindra itu ada di orang iniprabowo turun elektabilitasnya karena congor fadlizon spt durno
neutral,1,selamat hari kartini setiap kali selalu dirayakan lalu apa maknanya kali ini ð
neutral,1,foto memang bisu tpi memiliki banyak arti yg sush diartikansma seperti kamu susah diartikanmau putus atau lanjut
neutral,1,wakakakaka aku sudah mengalaminya xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82 tetiba muncul grub wa an bani abd hadi aka mbahku dan seketika aku mek kenal beberapa orang saja xf0x9fxa4xa3xf0x9fxa4xa3xf0x9fxa4
neutral,1,abam pres badar n nuqaba pling boekkkð dia ni hebat dlm bidang agama x tkut nk tgur member sndiri n selalu wat lawak hambar yg pling aku ingt smpai skrg lawak dia klau org ckp jom gerak skrg dia akn gerakkn badan dia yg chubby tuð
neutral,1,âseorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allahyarham tun abdul razakâ  ds
neutral,1,hahaha sialaaan nih si   ternyata klo lg laper  presiden juga mau disikat sama doiðð½
neutral,1,mau menasehati kali supaya ga ugal2an nih rezim eh tapi ini negeri sdh keburu ancornah skrg saja ekonomi morat marit kacaoooooo
neutral,1,aelaah silit kebeler ngapa dikasianin org makin sayang saya paknsetelah kasus sosmed gw baru sadar bbrapa hal di seitansai kemarinntar gw ceritain duuuhhh xf0x9fxa4xa3xf0x9fxa4xa3xf0x9fx98x85
negative,0,iya tdi cacad
neutral,1,tahun 2019 rakyat makan aspal dan beton ini adalah solusi jitu mengurangi kemiskinan  keahlian cebong hanya 1 tukang tipu  cebong mah gitu goblok nggak ketulungan plonga plongo mengakibatkan optimisme berlebihan
neutral,1,aku pernah sempat baca ttg harun yahya ini yg membelot ke kubu yahudi dgn freemasonry nyakdg suka ga percaya
negative,0,kita maju bersama ulama  kita bergerak bersama semua tokoh agama untuk indonesia
positive,2,
negative,0,pertanyaan mudah ya dijawab yg keras  tapi saya minta dijawab yg keras  siapa nama saya
positive,2,kemarin di hujat sekarang mengharap dasar para bani kamprey
neutral,1,penjelasan sy bukan fitnah silahkan dibantah  apollinaris darmawan sebut alquran kitab sampah
negative,0,monyet aja koloe dbilang saudra sma elo pasti ogah hdupmu kok gini amat ya toe hati apa comberan
neutral,1,body lufra scrub dg bhn dasar lidah buaya utk mlembabkn kulit amp lbh bcahaya info 087812026394
neutral,1,tak punya cacat di masa lalu krn blum bermasa lalu
neutral,1,jangan2 penganut bumi datar juga xf0x9fx98x9dnsoalnya teori bumi bulat kan dari orang asing yg notabane musuh mereka
positive,2,becak warga binjai hendak disita karena gunakan tenda bertuliskan  pks meradang  bukti pemerintah panik dan takut
negative,0,lebih baik jokowi mundur
neutral,1,munas alim ulama ppp di semarang menghasilkan lima rekomendasi syarat dan kriteriakriteria bagi calon wakil presiden yang akan mendampingi bpk jokowi di 2019 mendatang
neutral,1,luar biasa pencerahan nya saya merasa gagal sebagai anak ekonomi wkwk
neutral,1,kafan berasal dari budaya yahudi kenapa umat islam mengklaim
negative,0,oleh rezim skrg atas kendali negara cina komunis yg mjd patron tunggal rezim anti islam  jokowi
neutral,1,itu tanda nya mau pilkada n pilpres
neutral,1,misi4 membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya jawa barat yang luhur
neutral,1,ketabahan pasangan en taufiq dan puan nurliyana yang wajar dicontohi jom kita beri sumbangan untuk meringankan beban pasangan ini come on twitter do your things   bsn  0510541000096745  bank islam  05058020145124  nurliyana bte abdul raziff
negative,0,apaansi tai baru gt doang belagunya udah selangit ga inget ada karma ntar bbrp taun lagi kalo idol lu flop gua ketawa paling keras
negative,0,celeng kgn gw y
negative,0,dengan budaya  yuk pada visit ke purwokerto mumpung ada even rakyat
neutral,1,presiden itu punya dana taktis dia bisa menggunakan untuk kepentingan rakyatnya di luar program2 pemerintah yang sudah ada soal program banyak sekali ada pembangunan infrastruktur kip kis sertifikat tanah perhutanan sosial bbm 1 harga padat karya
neutral,1,aamiin ya allah ntimnya kinan aja sampai pelatihan ular karena dia dapat di rawarawa aku dapatnya di sungai gede gt dan musuhnya buaya wkwkw
positive,2,maju kamu ngatain mama aku bolot
neutral,1,grombolan kadal jidat gosongmmg bgtu sukanya ribut tapi klo grombolanya yg salah pura2 budekdasar grombolan cingkrang
neutral,1,segitu gentarnya dia takut terhadap kafirxf0x9fx98x81
positive,2,rt   betul padahal saracen juga siapa sehingga akun yang kritis dianggap saracen kan aneh jokowi
negative,0,siapa bego lu bukan tmn gua najis dah kesel sendiri gue
negative,0,kafir kristen selalu buat ulah
neutral,1,tau dong bau baunya udh keciri ini sipit buluq
negative,0,kayak memegang bukan mucikari
negative,0,guru tk dharma wanita persatuan desa plumbon porong deklarasi anti hoax ujaran kebencian issu sarah dan mendukung pilkada damai
negative,0,anjir serem maennya begituan xf0x9fx98x82xf0x9fx91x8c
positive,2,kayaknya bisa atau cuma bank tertentu bilang aja mau jual uang asingtukar ke rupiah
negative,0,onta yaman ninnsetahun lagi gua deportasi loe
negative,0,hatihati berita pilkada yang berbau hoax      kunjungi juga
negative,0,anak cocot ya ini
neutral,1,xf0x9fx99x88xf0x9fx99x88xf0x9fx99x88xf0x9fx99x88xf0x9fx99x88xf0x9fx99x88xf0x9fx99x88udah ketauan hoax ya fahri mangkanye klu ambil berite tuyg update jangan dari tong sampah diambil terus di ss taunya berit udah
negative,0,mantaaap dm dekat sama banser bang
neutral,1,ternyata ada lebah yg gak suka bunga tapi makan bangkai gw penasaran madu nya kaya gimana xf0x9fxa4x94
neutral,1,pantas indonesia mundur dalam segala bentuk
negative,0,naahh yg dongo yg bilang hekell hahaha
neutral,1,hahahaha blunder lu cebong yg gak ngasih tuh pem pusat dengan alasan ham kalau rakyat aceh ya mau kali pun cobak kau datangi pemerintah bilang suruh buat hukum islam kaffah di aceh klau dpr a
neutral,1,bangsad gua dah nyelem ampe bawah2 balik lgi ke atas1
neutral,1,saya tak bisa dipancingpancing dgn urusan penistaan atau bukan saya hanya berbicara pemahaman saya ttg fiksi dan kitab suci
neutral,1,cebong kacung itu kt temen gw dungunya sampe ke tulang sum2jd jgn buang2 energi debat sm merekaxf0x9fx98x82
negative,0,partai korupsi sapigoblog
neutral,1,signal kntl  pemeliharaan apalagi ini  niat gak sih  login twitter doank susah amat gmn mau open redtube  cetan
positive,2,matane aku moh aku kafir wkwkwk
negative,0,jadi inget fesbuk anjir lupa aku
neutral,1,kalo aing sih bakal bilang hilih kntl
neutral,1,nikita mirzani udah pake hijab yg masih ngomong cebang cebong udah pernah fantasiin doi belom uh ah
neutral,1,tatapannya dialihkan ke arah lain enggan menatap pria mencurigakan itu lagipula siapa yang pertama kali membuat gaduh suasana jika angie tidak menemukan ada seorang pria asing yang tidur di sofanya kejadian seperti ini tidak akan terjadi
neutral,1,lahir dan berkembangnya gerakan komunis di indonesia tidak dapat dipisahkan dari sebuah organisasi yg bernama isdv
neutral,1,shaheizy sam wajah baharu calpis
neutral,1,ya terserah lo aja balasnya kembali fokus kepada kerjaan kita  kami mengerjakan tugas project seni budaya hanya dalam 2 hari setelahnya langsung dikumpul dan dipresentasikan bersyukur nilainya memuaskan  setelah kejadian project itu kami makin
neutral,1,ga bakalan bro
neutral,1,kelakuan bodoh  masuk kategori perbuatan tidak menyenangkannnkelakuan sontoloyo  sangat menganggu persatuan bangsannkelakuan naif  secara tidak langsung sbg bentuk intimidasi thd ulamannkelakuan
negative,0,monyet turun ke pemukiman warga cibadak sukabumi
neutral,1,kotor ga masalah yang penting bahagia warganya cebong mana ngerti
negative,0,mau giveaway taplak meja tapi nanti yang menang cuma therichchenle
neutral,1,rt  sudah kebuka satu demi satu kebusukab kubu anies sandi yg menang dengan tanpa berkah  dan prabowo berusaha cuci tangan
negative,0,wkwkwkwk bodo bang
negative,0,bikan kaya orang begobro tapimemangbego
neutral,1,klhk upayakan pemerataan ekonomi melalui tora di kawasan hutan dan perhutanan sosial  tribun medan
neutral,1,pak  mahfud md sudah berpaling dari allah swt pemberang demi bangsa ajak semua buang islam
negative,0,orang2 bego kebanyakan minum amp makan kotoran onta otak nya somplak
neutral,1,apa yang terkuak semuanya sudah jelas sejak awal memang itu strategi kampanye kami di tim pemenangan anies sandi
neutral,1,warga baduy setelah selesai memperingati tradisi seba di pendopo pemkab lebak akan dilanjutkan kembali bertemu dengan gubernur banten wahidin halim hari ini sabtu 214
negative,0,lembaga2 antikorupsi masa lalu bubar krn sentuh kekuasaan giliran kpk kenapa pdip partai politik penguasa yg plg ngotot ingin bubarkan kpk
positive,2,justru mas klo mnyudutkan salah satu agama trtentu malah bahayaitulah pak rocky ini cerdik dia bisa nyusun kalimat yg tepat amppantas dgunakaninti dari ini dia mau kasih tau pngertian fiksi sbenarnyaayolah mas nya i
neutral,1,para pendukung capres gagal move on salalu sibuk urus aseng bawa kabur uang rp 35 t tapi ngak sadar kenapa aseng bisa kabur bawa uang sebanyak itu tanpa didukung pribumi asu mustahil aseng bisa pribumi hanya diam kalau disogok mental kacung emang
neutral,1,rt    lo rabun apa budekngue nulis gak ngomongnxf0x9fx98x81xf0x9fx98x80
neutral,1,bismillah nahan sepo yang terkutuk
negative,0,brahahahaaa cebong nya ngahok  xf0x9fxa4xa3xf0x9fxa4xa3   cebong blm cebok  xf0x9fx98x85
neutral,1,apdet status bikin tugas2 kelar gak ya kok jancuk sekali mbut
neutral,1,pak  walaupun anda muslim sebagai pejabat negara anda harus bertindak demi bangsa  negara
neutral,1,12 ikan yg sudah sembuh dari sakitnya dan yg masih terselamatan bagus laik jual harus dipisah atau diseleksi dari ikan yg cacat permanen untuk pemeliharaan lebih lanjut nnncc
negative,0,artinya apa  pribumi sadari  lihat siapa mereka  kecuali kalian samasama cina komunis  misionaris abaikan tweet ini usir cina indonesia
negative,0,presiden yang anda tuduh rezim anti islam sudah banyak berbuat untuk negeri ini sudah bnyak berbuat untuk umat
negative,0,manusia bangsad
